date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:13	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-654021e8-45b9fcd2618bad36;gz%22	https://gov.portal-cac.com/cac/a	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/a	(from https://connect.facebook.net/en_US/fbevents.js)
14:22:13	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-654021e8-45b9fcd2618bad36;gz%22	https://gov.portal-cac.com/cac/POST	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/POST	(from https://connect.facebook.net/en_US/fbevents.js)
14:22:13	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-654021e8-45b9fcd2618bad36;gz%22	https://gov.portal-cac.com/cac/b.resolvedLink	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
14:22:13	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-654021e8-45b9fcd2618bad36;gz%22	https://gov.portal-cac.com/signals/iwl.js	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
14:22:13	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-654021e8-45b9fcd2618bad36;gz%22	https://gov.portal-cac.com/cac/schema.org/	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:22:14	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-654021e8-45b9fcd2618bad36;gz%22	https://gov.portal-cac.com/cac/GET	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/GET	(from https://gov.portal-cac.com/cac/js/player.js)
14:22:14	16384/16384	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2017:22:15%20GMT	https://gov.portal-cac.com/	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:22:14	230753/230753	---M-Z	200	added ('OK')	application/x-javascript	etag:%2238561-66f38549-4c607ca342653388;gz%22	https://gov.portal-cac.com/cac/registro/js/fbevents.js	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/registro/js/fbevents.js	(from https://gov.portal-cac.com/cac/registro/)
14:22:14	31138/31138	---M-Z	200	added ('OK')	application/x-javascript	etag:%2279a2-66f38549-fec66fadec5afa9b;gz%22	https://gov.portal-cac.com/cac/registro/js/pixel.js	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/registro/js/pixel.js	(from https://gov.portal-cac.com/cac/registro/)
14:22:15	59326/59326	---M-Z	200	added ('OK')	text/css	etag:%22e7be-66f38549-3767e9f981bc2406;gz%22	https://gov.portal-cac.com/cac/registro/css/all.min_1.css	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/registro/css/all.min_1.css	(from https://gov.portal-cac.com/cac/registro/)
14:22:15	21133/21133	---M-Z	200	added ('OK')	application/x-javascript	etag:%22528d-66f38549-395de446e92c777d;gz%22	https://gov.portal-cac.com/cac/registro/js/cleave.min.js	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/registro/js/cleave.min.js	(from https://gov.portal-cac.com/cac/registro/)
14:22:15	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2017:22:16%20GMT	https://gov.portal-cac.com/cac/registro/endereco	C:/Users/User/Desktop/html%20porte%20de%20arma/html%20porte%20de%20arma/gov.portal-cac.com/cac/registro/endereco	(from https://gov.portal-cac.com/cac/registro/)
